strategy,timeout,max_ticks,killed,resolved,false_positives,completed,total,throughput,false_positive_rate
KILL,2,50,15,1,14,1,150,0.0066666667,0.9333333333
KILL,5,50,15,2,13,0,150,0.0000000000,0.8666666667
KILL,10,50,14,2,12,0,150,0.0000000000,0.8571428571
KILL,20,50,12,1,11,0,150,0.0000000000,0.9166666667
KILL,30,50,12,1,11,0,150,0.0000000000,0.9166666667
KILL,40,50,10,0,10,0,150,0.0000000000,1.0000000000
KILL,50,50,0,0,0,0,150,0.0000000000,0.0000000000
KILL,100,50,0,0,0,0,150,0.0000000000,0.0000000000
RETRY,2,50,0,1,51,1,150,0.0066666667,0.9807692308
RETRY,5,50,0,2,44,0,150,0.0000000000,0.9565217391
RETRY,10,50,0,2,33,0,150,0.0000000000,0.9428571429
RETRY,20,50,0,1,18,0,150,0.0000000000,0.9473684211
RETRY,30,50,0,1,11,0,150,0.0000000000,0.9166666667
RETRY,40,50,0,0,10,0,150,0.0000000000,1.0000000000
RETRY,50,50,0,0,0,0,150,0.0000000000,0.0000000000
RETRY,100,50,0,0,0,0,150,0.0000000000,0.0000000000
ROLLBACK,2,50,0,5,61,0,150,0.0000000000,0.9242424242
ROLLBACK,5,50,0,5,48,0,150,0.0000000000,0.9056603774
ROLLBACK,10,50,0,3,35,0,150,0.0000000000,0.9210526316
ROLLBACK,20,50,0,1,19,0,150,0.0000000000,0.9500000000
ROLLBACK,30,50,0,1,12,0,150,0.0000000000,0.9230769231
ROLLBACK,40,50,0,0,10,0,150,0.0000000000,1.0000000000
ROLLBACK,50,50,0,0,0,0,150,0.0000000000,0.0000000000
ROLLBACK,100,50,0,0,0,0,150,0.0000000000,0.0000000000
KILL,2,100,33,1,32,5,150,0.0333333333,0.9696969697
KILL,5,100,30,3,27,3,150,0.0200000000,0.9000000000
KILL,10,100,29,3,26,3,150,0.0200000000,0.8965517241
KILL,20,100,29,3,26,3,150,0.0200000000,0.8965517241
KILL,30,100,29,3,26,2,150,0.0133333333,0.8965517241
KILL,40,100,26,3,23,2,150,0.0133333333,0.8846153846
KILL,50,100,15,2,13,2,150,0.0133333333,0.8666666667
KILL,100,100,0,0,0,2,150,0.0133333333,0.0000000000
RETRY,2,100,10,1,126,6,150,0.0400000000,0.9921259843
RETRY,5,100,10,3,115,4,150,0.0266666667,0.9745762712
RETRY,10,100,0,3,94,4,150,0.0266666667,0.9690721649
RETRY,20,100,0,3,56,3,150,0.0200000000,0.9491525424
RETRY,30,100,0,3,38,2,150,0.0133333333,0.9268292683
RETRY,40,100,0,3,33,2,150,0.0133333333,0.9166666667
RETRY,50,100,0,2,13,2,150,0.0133333333,0.8666666667
RETRY,100,100,0,0,0,2,150,0.0133333333,0.0000000000
ROLLBACK,2,100,15,6,166,4,150,0.0266666667,0.9651162791
ROLLBACK,5,100,14,16,143,4,150,0.0266666667,0.8993710692
ROLLBACK,10,100,0,12,114,2,150,0.0133333333,0.9047619048
ROLLBACK,20,100,0,6,63,2,150,0.0133333333,0.9130434783
ROLLBACK,30,100,0,4,42,2,150,0.0133333333,0.9130434783
ROLLBACK,40,100,0,4,35,2,150,0.0133333333,0.8974358974
ROLLBACK,50,100,0,2,15,2,150,0.0133333333,0.8823529412
ROLLBACK,100,100,0,0,0,2,150,0.0133333333,0.0000000000
KILL,2,200,62,1,61,14,150,0.0933333333,0.9838709677
KILL,5,200,62,3,59,13,150,0.0866666667,0.9516129032
KILL,10,200,62,4,58,12,150,0.0800000000,0.9354838710
KILL,20,200,59,5,54,11,150,0.0733333333,0.9152542373
KILL,30,200,49,5,44,10,150,0.0666666667,0.8979591837
KILL,40,200,48,4,44,10,150,0.0666666667,0.9166666667
KILL,50,200,48,4,44,10,150,0.0666666667,0.9166666667
KILL,100,200,35,4,31,10,150,0.0666666667,0.8857142857
RETRY,2,200,32,1,227,16,150,0.1066666667,0.9956140351
RETRY,5,200,33,3,226,14,150,0.0933333333,0.9868995633
RETRY,10,200,18,4,213,19,150,0.1266666667,0.9815668203
RETRY,20,200,0,5,157,23,150,0.1533333333,0.9691358025
RETRY,30,200,0,5,112,22,150,0.1466666667,0.9572649573
RETRY,40,200,0,4,90,22,150,0.1466666667,0.9574468085
RETRY,50,200,0,4,69,22,150,0.1466666667,0.9452054795
RETRY,100,200,0,4,31,21,150,0.1400000000,0.8857142857
ROLLBACK,2,200,48,6,359,13,150,0.0866666667,0.9835616438
ROLLBACK,5,200,48,18,330,13,150,0.0866666667,0.9482758621
ROLLBACK,10,200,33,24,293,18,150,0.1200000000,0.9242902208
ROLLBACK,20,200,5,22,214,21,150,0.1400000000,0.9067796610
ROLLBACK,30,200,0,17,155,19,150,0.1266666667,0.9011627907
ROLLBACK,40,200,0,12,117,19,150,0.1266666667,0.9069767442
ROLLBACK,50,200,0,10,85,19,150,0.1266666667,0.8947368421
ROLLBACK,100,200,0,4,34,19,150,0.1266666667,0.8947368421
KILL,2,400,72,1,71,31,150,0.2066666667,0.9861111111
KILL,5,400,72,3,69,31,150,0.2066666667,0.9583333333
KILL,10,400,72,4,68,30,150,0.2000000000,0.9444444444
KILL,20,400,72,5,67,29,150,0.1933333333,0.9305555556
KILL,30,400,72,5,67,29,150,0.1933333333,0.9305555556
KILL,40,400,72,5,67,29,150,0.1933333333,0.9305555556
KILL,50,400,72,5,67,29,150,0.1933333333,0.9305555556
KILL,100,400,72,5,67,29,150,0.1933333333,0.9305555556
RETRY,2,400,42,1,287,36,150,0.2400000000,0.9965277778
RETRY,5,400,43,3,286,35,150,0.2333333333,0.9896193772
RETRY,10,400,39,4,284,40,150,0.2666666667,0.9861111111
RETRY,20,400,33,5,268,47,150,0.3133333333,0.9816849817
RETRY,30,400,22,5,245,47,150,0.3133333333,0.9800000000
RETRY,40,400,8,5,209,57,150,0.3800000000,0.9766355140
RETRY,50,400,0,5,181,57,150,0.3800000000,0.9731182796
RETRY,100,400,0,5,92,53,150,0.3533333333,0.9484536082
ROLLBACK,2,400,71,6,449,32,150,0.2133333333,0.9868131868
ROLLBACK,5,400,72,18,439,31,150,0.2066666667,0.9606126915
ROLLBACK,10,400,67,24,428,36,150,0.2400000000,0.9469026549
ROLLBACK,20,400,62,30,407,41,150,0.2733333333,0.9313501144
ROLLBACK,30,400,52,30,387,41,150,0.2733333333,0.9280575540
ROLLBACK,40,400,25,29,337,50,150,0.3333333333,0.9207650273
ROLLBACK,50,400,9,27,292,49,150,0.3266666667,0.9153605016
ROLLBACK,100,400,0,13,133,46,150,0.3066666667,0.9109589041
KILL,2,800,72,1,71,68,150,0.4533333333,0.9861111111
KILL,5,800,72,3,69,68,150,0.4533333333,0.9583333333
KILL,10,800,72,4,68,68,150,0.4533333333,0.9444444444
KILL,20,800,72,5,67,67,150,0.4466666667,0.9305555556
KILL,30,800,72,5,67,67,150,0.4466666667,0.9305555556
KILL,40,800,72,5,67,67,150,0.4466666667,0.9305555556
KILL,50,800,72,5,67,67,150,0.4466666667,0.9305555556
KILL,100,800,72,5,67,67,150,0.4466666667,0.9305555556
RETRY,2,800,42,1,287,84,150,0.5600000000,0.9965277778
RETRY,5,800,43,3,286,83,150,0.5533333333,0.9896193772
RETRY,10,800,39,4,284,87,150,0.5800000000,0.9861111111
RETRY,20,800,33,5,268,93,150,0.6200000000,0.9816849817
RETRY,30,800,33,5,256,93,150,0.6200000000,0.9808429119
RETRY,40,800,22,5,234,104,150,0.6933333333,0.9790794979
RETRY,50,800,23,5,225,103,150,0.6866666667,0.9782608696
RETRY,100,800,0,5,158,114,150,0.7600000000,0.9693251534
ROLLBACK,2,800,71,6,449,69,150,0.4600000000,0.9868131868
ROLLBACK,5,800,72,18,439,68,150,0.4533333333,0.9606126915
ROLLBACK,10,800,67,24,428,73,150,0.4866666667,0.9469026549
ROLLBACK,20,800,62,30,407,78,150,0.5200000000,0.9313501144
ROLLBACK,30,800,62,30,397,78,150,0.5200000000,0.9297423888
ROLLBACK,40,800,52,30,377,88,150,0.5866666667,0.9262899263
ROLLBACK,50,800,52,30,367,88,150,0.5866666667,0.9244332494
ROLLBACK,100,800,19,30,294,97,150,0.6466666667,0.9074074074
