strategy,timeout,max_ticks,killed,resolved,false_positives,completed,total,throughput,false_positive_rate
KILL,2,800,72,1,71,68,150,0.4533333333,0.9861111111
KILL,5,800,72,3,69,68,150,0.4533333333,0.9583333333
KILL,10,800,72,4,68,68,150,0.4533333333,0.9444444444
KILL,20,800,72,5,67,67,150,0.4466666667,0.9305555556
KILL,30,800,72,5,67,67,150,0.4466666667,0.9305555556
KILL,40,800,72,5,67,67,150,0.4466666667,0.9305555556
KILL,50,800,72,5,67,67,150,0.4466666667,0.9305555556
KILL,100,800,72,5,67,67,150,0.4466666667,0.9305555556
RETRY,2,800,42,1,287,84,150,0.5600000000,0.9965277778
RETRY,5,800,43,3,286,83,150,0.5533333333,0.9896193772
RETRY,10,800,39,4,284,87,150,0.5800000000,0.9861111111
RETRY,20,800,33,5,268,93,150,0.6200000000,0.9816849817
RETRY,30,800,33,5,256,93,150,0.6200000000,0.9808429119
RETRY,40,800,22,5,234,104,150,0.6933333333,0.9790794979
RETRY,50,800,23,5,225,103,150,0.6866666667,0.9782608696
RETRY,100,800,0,5,158,114,150,0.7600000000,0.9693251534
ROLLBACK,2,800,71,6,449,69,150,0.4600000000,0.9868131868
ROLLBACK,5,800,72,18,439,68,150,0.4533333333,0.9606126915
ROLLBACK,10,800,67,24,428,73,150,0.4866666667,0.9469026549
ROLLBACK,20,800,62,30,407,78,150,0.5200000000,0.9313501144
ROLLBACK,30,800,62,30,397,78,150,0.5200000000,0.9297423888
ROLLBACK,40,800,52,30,377,88,150,0.5866666667,0.9262899263
ROLLBACK,50,800,52,30,367,88,150,0.5866666667,0.9244332494
ROLLBACK,100,800,19,30,294,97,150,0.6466666667,0.9074074074
