time,process_id,action,resource_id,duration
0,P38,request,R38,120
1,P39,request,R38,0
2,P40,request,R38,0
3,P41,request,R38,0
4,P42,request,R38,0
5,P43,request,R38,0
5,P150,request,R150,701
6,P44,request,R38,0
7,P45,request,R38,0
8,P46,request,R38,0
9,P47,request,R38,0
10,P1,request,R1,70
10,P48,request,R38,0
11,P2,request,R2,70
12,P3,request,R3,70
13,P91,request,R91,579
15,P88,request,R88,100
18,P1,request,R2,0
19,P2,request,R3,0
20,P3,request,R1,0
24,P142,request,R142,117
30,P4,request,R4,150
31,P5,request,R5,150
32,P6,request,R6,150
32,P146,request,R146,399
33,P7,request,R7,150
35,P110,request,R110,51
36,P119,request,R119,628
39,P4,request,R5,0
40,P5,request,R6,0
40,P106,request,R106,570
40,P112,request,R112,243
41,P6,request,R7,0
42,P7,request,R4,0
50,P8,request,R8,250
50,P49,request,R39,250
51,P9,request,R9,250
51,P50,request,R39,0
51,P113,request,R113,394
52,P10,request,R10,250
52,P51,request,R39,0
52,P85,request,R85,697
52,P100,request,R100,99
53,P11,request,R11,250
53,P52,request,R39,0
54,P12,request,R12,250
54,P53,request,R39,0
55,P54,request,R39,0
56,P55,request,R39,0
57,P56,request,R39,0
57,P82,request,R82,30
58,P57,request,R39,0
59,P58,request,R39,0
60,P8,request,R9,0
60,P59,request,R39,0
61,P9,request,R10,0
62,P10,request,R11,0
63,P11,request,R12,0
63,P105,request,R105,392
64,P12,request,R8,0
70,P140,request,R140,526
78,P143,request,R143,647
80,P13,request,R13,500
81,P14,request,R14,500
81,P96,request,R96,719
81,P144,request,R144,701
82,P15,request,R15,500
83,P16,request,R16,500
84,P17,request,R17,500
85,P18,request,R18,500
86,P19,request,R19,500
87,P20,request,R20,500
87,P120,request,R120,551
88,P21,request,R21,500
89,P22,request,R22,500
95,P13,request,R14,0
96,P14,request,R15,0
97,P15,request,R16,0
98,P16,request,R17,0
98,P109,request,R109,726
99,P17,request,R18,0
100,P18,request,R19,0
100,P60,request,R40,500
101,P19,request,R20,0
101,P61,request,R40,0
101,P92,request,R92,738
102,P20,request,R21,0
102,P62,request,R40,0
103,P21,request,R22,0
103,P63,request,R40,0
104,P22,request,R13,0
104,P64,request,R40,0
105,P65,request,R40,0
106,P66,request,R40,0
107,P67,request,R40,0
107,P117,request,R117,691
108,P68,request,R40,0
108,P129,request,R129,585
109,P69,request,R40,0
110,P70,request,R40,0
110,P99,request,R99,349
111,P89,request,R89,243
112,P94,request,R94,464
114,P84,request,R84,147
116,P111,request,R111,301
117,P126,request,R126,37
125,P121,request,R121,172
126,P134,request,R134,767
128,P149,request,R149,571
134,P136,request,R136,769
135,P103,request,R103,49
135,P133,request,R133,147
136,P118,request,R118,723
137,P128,request,R128,72
138,P123,request,R123,660
140,P83,request,R83,255
142,P95,request,R95,11
142,P98,request,R98,164
142,P114,request,R114,469
150,P23,request,R23,900
150,P107,request,R107,648
151,P24,request,R24,776
152,P25,request,R25,758
153,P26,request,R26,724
154,P27,request,R27,700
155,P28,request,R28,687
156,P29,request,R29,865
157,P30,request,R30,650
158,P31,request,R31,624
159,P32,request,R32,800
160,P33,request,R33,798
161,P34,request,R34,796
161,P127,request,R127,415
161,P130,request,R130,222
162,P35,request,R35,900
163,P36,request,R36,900
164,P37,request,R37,900
166,P125,request,R125,62
170,P23,request,R24,0
171,P24,request,R25,0
172,P25,request,R26,0
173,P26,request,R27,0
174,P27,request,R28,0
175,P28,request,R29,0
176,P29,request,R30,0
177,P30,request,R31,0
178,P31,request,R32,0
179,P32,request,R33,0
180,P33,request,R34,0
181,P34,request,R35,0
182,P35,request,R36,0
183,P36,request,R37,0
183,P102,request,R102,357
184,P37,request,R23,0
185,P108,request,R108,596
185,P139,request,R139,229
186,P115,request,R115,171
189,P116,request,R116,368
194,P101,request,R101,104
195,P147,request,R147,615
200,P71,request,R41,850
201,P72,request,R41,0
202,P73,request,R41,0
203,P74,request,R41,0
204,P75,request,R41,0
205,P76,request,R41,0
206,P77,request,R41,0
207,P78,request,R41,0
208,P79,request,R41,0
209,P80,request,R41,0
210,P81,request,R41,0
216,P87,request,R87,37
216,P97,request,R97,353
216,P145,request,R145,615
234,P132,request,R132,151
235,P104,request,R104,554
236,P122,request,R122,393
239,P148,request,R148,546
252,P141,request,R141,98
255,P131,request,R131,410
258,P90,request,R90,621
279,P86,request,R86,94
279,P93,request,R93,434
285,P124,request,R124,229
287,P135,request,R135,556
298,P138,request,R138,413
299,P137,request,R137,443
